,tropical weather systems,Gulf Stream,eddies,wind,temperature breaks,water clarity,bait concentration,surface objects,availability of large gaffer dolphin,availability of small dolphin,use of circle hooks,fishing efficiency,dolphin population abundance,consumer demand,tuna and marlin fishing opportunity,?,water temperature,seasonal migrations,charter demand,pictures on social media,consumer satisfaction,trip activity excitement,total local dolphin landings,tournaments,private landings,private angler effort,distance from fish,weather,desirability for eating,number of charter trips,concentration of dolphin,shark abundance,commercial fishing effort,charter landings
tropical weather systems,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Stream,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eddies,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
wind,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
temperature breaks,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
water clarity,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bait concentration,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
surface objects,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
availability of large gaffer dolphin,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
availability of small dolphin,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
use of circle hooks,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
fishing efficiency,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
dolphin population abundance,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
consumer demand,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
tuna and marlin fishing opportunity,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,
?,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
water temperature,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,
seasonal migrations,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
charter demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
pictures on social media,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,
consumer satisfaction,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
trip activity excitement,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
total local dolphin landings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournaments,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
private landings,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
private angler effort,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
distance from fish,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
weather,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
desirability for eating,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,
number of charter trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
concentration of dolphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
shark abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
commercial fishing effort,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
charter landings,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,
